min_id,dep_id,start_date,end_date,active
2610/11_min_41,2610/11_dep_384,2015-09-21,-1,TRUE
2610/11_min_41,2610/11_dep_385,2015-09-21,-1,TRUE
2610/11_min_41,2610/11_dep_386,2015-09-21,-1,TRUE
2610/11_min_41,2610/11_dep_387,2015-09-21,-1,TRUE
2610/11_min_41,2610/11_dep_388,2015-09-21,-1,TRUE
2610/11_min_41,2610/11_dep_389,2015-09-21,-1,TRUE
2610/11_min_42,2610/11_dep_390,2015-09-21,-1,TRUE
2610/11_min_42,2610/11_dep_391,2015-09-21,-1,TRUE
2610/11_min_42,2610/11_dep_392,2015-09-21,-1,TRUE
2610/11_min_42,2610/11_dep_393,2015-09-21,-1,TRUE
2610/11_min_43,2610/11_dep_394,2015-09-21,-1,TRUE
2610/11_min_43,2610/11_dep_395,2015-09-21,-1,TRUE
2610/11_min_43,2610/11_dep_396,2015-09-21,-1,TRUE
2610/11_min_43,2610/11_dep_397,2015-09-21,-1,TRUE
2610/11_min_43,2610/11_dep_398,2015-09-21,-1,TRUE
2610/11_min_43,2610/11_dep_399,2015-09-21,-1,TRUE
2610/11_min_44,2610/11_dep_400,2015-09-21,-1,TRUE
2610/11_min_45,2610/11_dep_401,2015-09-21,-1,TRUE
2610/11_min_45,2610/11_dep_402,2015-09-21,-1,TRUE
2610/11_min_45,2610/11_dep_403,2015-09-21,-1,TRUE
2610/11_min_45,2610/11_dep_404,2015-09-21,-1,TRUE
2610/11_min_46,2610/11_dep_405,2015-09-21,-1,TRUE
2610/11_min_46,2610/11_dep_406,2015-09-21,-1,TRUE
2610/11_min_46,2610/11_dep_407,2015-09-21,-1,TRUE
2610/11_min_46,2610/11_dep_408,2015-09-21,-1,TRUE
